Year ,RCDTS,Enrollment,PBE,PME
2010-2011,04004006P003101,20,0,0
2010-2011,04101028P003101,39,0,0
2010-2011,05016269P003101,44,0,0
2010-2011,05016269P003103,10,0,0
2010-2011,05016269P003104,10,0,0
2010-2011,05016269P003105,15,3,0
2010-2011,05016269P003111,10,0,0
2010-2011,05016269P003112,22,0,0
2010-2011,05016782P003101,87,3,1
2010-2011,06016228P003101,20,0,0
2010-2011,06016228P003103,35,0,0
2010-2011,06016228P003104,31,0,0
2010-2011,06016400P003101,68,0,0
2010-2011,60165270513101,60,0,0
2010-2011,06016907P003101,44,0,0
2010-2011,07016194P003101,40,2,2
2010-2011,07016241P003101,25,0,0
2010-2011,07016293P003101,40,0,0
2010-2011,07016619P003101,21,0,0
2010-2011,07016619P003102,20,0,0
2010-2011,07016710P003101,40,0,0
2010-2011,07016768P003101,45,0,0
2010-2011,09010043P003101,38,0,0
2010-2011,09010043P003102,50,0,0
2010-2011,09010043P003103,38,0,0
2010-2011,09010043P003104,57,0,0
2010-2011,12080007P003101,35,0,0
2010-2011,15016022P003101,37,0,0
2010-2011,15016022P003102,60,0,0
2010-2011,15016777P003101,252,0,0
2010-2011,15016906P003101,37,0,0
2010-2011,17064011P003101,32,0,0
2010-2011,19022048P003101,40,0,0
2010-2011,19022053P003101,39,0,0
2010-2011,20096009P003101,58,0,0
2010-2011,20096009P003103,34,0,0
2010-2011,20097011P003101,19,0,0
2010-2011,21028017P003101,40,0,0
2010-2011,21100015P003101,37,0,2
2010-2011,21100023P003101,36,0,0
2010-2011,25041016P003101,36,0,1
2010-2011,32046031P003101,40,0,0
2010-2011,34049014P003101,17,0,0
2010-2011,34049031P003101,68,0,0
2010-2011,34049034P003101,40,0,0
2010-2011,34049080P003101,35,0,0
2010-2011,41057046P003101,38,0,0
2010-2011,41057054P003101,26,0,0
2010-2011,41057054P003102,40,0,0
2010-2011,41057065P003101,6,0,0
2010-2011,45067006P003101,40,0,0
2010-2011,45067006P003102,39,0,0
2010-2011,46069014P003101,39,0,1
2010-2011,46069015P003101,40,0,0
2010-2011,47052009P003101,20,0,0
2010-2011,48072005P003101,29,0,0
2010-2011,50082022P003101,40,0,0
2010-2011,50082025P003101,69,0,0
2010-2011,50082052P003101,20,0,0
2010-2011,50082066P003101,143,1,0
2010-2011,50082083P003101,22,0,0
2010-2011,50082088P003101,37,0,0
2010-2011,50082093P003101,38,0,0
2010-2011,50082104P003101,40,0,0
2010-2011,51084069P003101,37,0,0
2010-2011,53090063P003101,20,0,0
2010-2011,53090063P003102,40,0,0
2010-2011,53090063P003103,34,0,0
2010-2011,53090063P003104,16,0,0
2010-2011,53090063P003105,28,0,0
2010-2011,56099049P003101,19,0,0
2010-2011,56099049P003102,50,0,0
2010-2011,56099060P003101,20,1,0
2010-2011,56099073P003104,20,0,0
2010-2011,56099073P003105,20,0,0
2010-2011,56099073P003106,20,0,0
2010-2011,56099073P003107,17,0,0
2010-2011,560995270513101,79,1,1
2010-2011,651089700513101,37,0,0
2010-2011,651089700513102,15,0,0
2010-2011,01001005X100000,157,0,1
2010-2011,01001006X100000,300,0,0
2010-2011,01001009X100000,394,0,9
2010-2011,03025002X060000,132,0,0
2010-2011,03025003X100000,212,0,0
2010-2011,03025007X100000,374,0,0
2010-2011,03026003X060000,56,1,0
2010-2011,03026007X020000,46,1,1
2010-2011,04004001X060000,310,2,0
2010-2011,04004002X100000,182,0,0
2010-2011,04004004X250000,66,3,0
2010-2011,04101003X100000,501,0,1
2010-2011,04101004X060000,43,0,1
2010-2011,04101007X100000,120,0,0
2010-2011,04101008X100000,382,0,0
2010-2011,04101009X100000,199,0,0
2010-2011,04101010X100000,244,0,0
2010-2011,04101013X060000,94,0,1
2010-2011,04101014X100000,229,1,0
2010-2011,04101017X110000,28,2,0
2010-2011,04101020X100000,278,3,0
2010-2011,04101021X100000,123,1,0
2010-2011,04101027X010000,209,8,0
2010-2011,04101070X160000,182,6,0
2010-2011,04101073X160000,40,1,0
2010-2011,04101088X230000,104,0,2
2010-2011,04101096X060000,108,4,0
2010-2011,05016014X010000,65,1,0
2010-2011,05016071X160000,67,3,0
2010-2011,05016078X050000,236,21,0
2010-2011,05016100X160000,320,12,8
2010-2011,05016102X060000,453,1,1
2010-2011,05016128X060000,62,1,0
2010-2011,05016130X010000,51,1,1
2010-2011,05016146X060000,261,5,0
2010-2011,05016148X160000,78,0,3
2010-2011,05016154X060000,353,13,1
2010-2011,05016156X060000,193,2,0
2010-2011,05016161X060000,64,1,0
2010-2011,05016170X230000,50,0,0
2010-2011,05016212X050000,689,8,1
2010-2011,05016213X160000,30,0,0
2010-2011,05016218X050000,434,3,0
2010-2011,05016219X160000,118,2,0
2010-2011,05016230X050000,262,1,0
2010-2011,05016244X160000,64,0,1
2010-2011,05016276X100000,359,4,1
2010-2011,05016277X100000,332,2,0
2010-2011,05016278X100000,347,1,0
2010-2011,05016287X010000,307,8,5
2010-2011,05016296X100000,148,0,0
2010-2011,05016298X100000,229,0,0
2010-2011,05016303X100000,173,0,0
2010-2011,05016311X100000,695,4,2
2010-2011,05016312X100000,443,0,7
2010-2011,05016380X170000,145,0,0
2010-2011,05016414X170000,62,4,0
2010-2011,05016419X100000,539,5,0
2010-2011,05016420X100000,183,1,0
2010-2011,05016469X100000,274,2,1
2010-2011,05016494X100000,379,5,0
2010-2011,05016503X100000,317,4,0
2010-2011,05016504X100000,582,4,1
2010-2011,05016508X100000,350,0,0
2010-2011,05016512X100000,315,2,0
2010-2011,05016523X100000,521,0,0
2010-2011,05016526X100000,292,0,0
2010-2011,05016553X100000,323,3,1
2010-2011,05016556X100000,365,0,0
2010-2011,05016558X100000,315,1,0
2010-2011,05016574X160000,22,0,0
2010-2011,05016594X010000,270,0,0
2010-2011,05016657X100000,157,2,1
2010-2011,05016658X100000,186,1,0
2010-2011,05016666X100000,494,5,1
2010-2011,05016667X100000,575,1,1
2010-2011,05016674X160000,157,1,0
2010-2011,05016675X260000,463,15,0
2010-2011,05016681X160000,30,2,1
2010-2011,05016691X050000,252,1,0
2010-2011,05016694X260000,104,5,0
2010-2011,05016734X050000,29,2,0
2010-2011,05016754X160000,61,5,0
2010-2011,05016756X160000,135,0,0
2010-2011,05016777X160000,134,1,1
2010-2011,05016783X100000,130,0,0
2010-2011,05016793X010000,46,0,0
2010-2011,05016830X050000,146,2,0
2010-2011,05016834X230000,381,0,0
2010-2011,05016841X160000,138,2,0
2010-2011,05016904X160000,15,0,2
2010-2011,05016908X160000,35,1,0
2010-2011,05016942X010000,62,0,0
2010-2011,05016979X100000,948,0,0
2010-2011,06016125X060000,80,5,1
2010-2011,06016133X060000,57,1,0
2010-2011,06016134X060000,131,0,0
2010-2011,06016136X060000,174,2,0
2010-2011,06016144X060000,156,0,0
2010-2011,06016149X160000,25,0,0
2010-2011,06016153X060000,11,0,0
2010-2011,06016157X060000,235,10,1
2010-2011,06016261X100000,228,0,0
2010-2011,06016264X100000,242,0,0
2010-2011,06016280X100000,654,0,0
2010-2011,06016281X100000,196,0,1
2010-2011,06016282X100000,152,0,0
2010-2011,06016283X100000,221,0,0
2010-2011,06016289X100000,134,1,0
2010-2011,06016299X100000,246,0,3
2010-2011,06016304X100000,399,0,0
2010-2011,06016305X100000,116,0,0
2010-2011,06016306X100000,243,0,1
2010-2011,06016307X100000,346,4,0
2010-2011,06016315X100000,164,0,0
2010-2011,06016473X100000,197,1,0
2010-2011,06016482X100000,483,2,0
2010-2011,06016483X100000,225,0,0
2010-2011,06016484X100000,151,0,0
2010-2011,06016485X100000,481,0,6
2010-2011,06016500X100000,139,0,0
2010-2011,06016510X100000,139,2,0
