County,Year,Enrollment,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,PBE,PME
ADAMS,2017-18,384,6,3,3, -   , -   ,3,3
ASOTIN,2017-18,245,8,2,6, -   , -   ,6,2
BENTON,2017-18,"2,842",77,9,64,3,2,69,9
CHELAN,2017-18,706,34,3,31, -   , -   ,31,3
CLALLAM,2017-18,378,32,12,18,1,1,20,12
CLARK,2017-18,"5,680",448,70,358,18,7,383,70
COLUMBIA,2017-18,28, -   , -   , -   , -   , -   ,0,0
COWLITZ,2017-18,"1,232",62,15,46,1, -   ,47,15
DOUGLAS,2017-18,507,4, -   ,4, -   , -   ,4,0
FERRY,2017-18,79,4, -   ,4, -   , -   ,4,0
FRANKLIN,2017-18,"1,515",25, -   ,24,1, -   ,25,0
GARFIELD,2017-18,24,2, -   ,2, -   , -   ,2,0
GRANT,2017-18,"1,171",41,7,30,3,2,35,7
GRAYS HARBOR,2017-18,770,18,5,12,1, -   ,13,5
ISLAND,2017-18,834,42,20,22,1, -   ,23,20
JEFFERSON,2017-18,171,21,2,18,1, -   ,19,2
KING,2017-18,"24,957",910,148,735,40,7,782,148
KITSAP,2017-18,"2,620",119,28,90,4, -   ,94,28
KITTITAS,2017-18,431,18,3,15, -   , -   ,15,3
KLICKITAT,2017-18,257,33,15,16,2, -   ,18,15
LEWIS,2017-18,730,30,6,23,1,1,25,6
LINCOLN,2017-18,164,12,1,6,4,1,11,1
MASON,2017-18,645,23,9,11,2,1,14,9
OKANOGAN,2017-18,551,17,2,14,1, -   ,15,2
PACIFIC,2017-18,195,11,1,10, -   , -   ,10,1
PEND OREILLE,2017-18,103,5, -   ,5, -   , -   ,5,0
PIERCE,2017-18,"10,378",468,96,347,26,13,386,96
SAN JUAN,2017-18,117,6,2,3, -   ,1,4,2
SKAGIT,2017-18,"1,484",75,13,57,5,4,66,13
SKAMANIA,2017-18,61,2,1,2, -   , -   ,2,1
SNOHOMISH,2017-18,"8,009",437,57,371,10,6,387,57
SPOKANE,2017-18,"5,860",470,71,386,20,2,408,71
STEVENS,2017-18,359,48,9,38,1, -   ,39,9
THURSTON,2017-18,"3,415",173,33,138,7,1,146,33
WAHKIAKUM,2017-18,29,3,1, -   ,1,1,2,1
WALLA WALLA,2017-18,655,29,7,21,2, -   ,23,7
WHATCOM,2017-18,"1,280",107,9,119,4, -   ,123,9
WHITMAN,2017-18,452,15,2,13, -   , -   ,13,2
YAKIMA,2017-18,"3,918",44,18,25,2, -   ,27,18
