County,Year,Enrollment,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,PBE,PME
ADAMS,2016-17,432,5,0,5,0,0,5,0
ASOTIN,2016-17,72,3,3,0,0,0,0,3
BENTON,2016-17,"2,657",82,9,70,2,1,73,9
CHELAN,2016-17,846,41,3,36,1,1,38,3
CLALLAM,2016-17,689,38,8,21,4,1,26,8
CLARK,2016-17,"5,671",402,68,306,23,10,339,68
COLUMBIA,2016-17,36,1,0,1,0,0,1,0
COWLITZ,2016-17,"1,319",54,17,35,2,0,37,17
DOUGLAS,2016-17,592,10,2,8,0,0,8,2
FERRY,2016-17,66,8,2,2,4,0,6,2
FRANKLIN,2016-17,"1,652",33,3,22,8,0,30,3
GARFIELD,2016-17,22,0,0,0,0,0,0,0
GRANT,2016-17,"1,661",51,6,34,6,5,45,6
GRAYS HARBOR,2016-17,810,23,3,20,0,0,20,3
ISLAND,2016-17,699,35,11,24,1,0,25,11
JEFFERSON,2016-17,208,28,7,21,1,0,22,7
KING,2016-17,"24,827","1,098",199,886,42,12,940,199
KITSAP,2016-17,"2,767",128,28,95,4,2,101,28
KITTITAS,2016-17,422,16,1,15,0,0,15,1
KLICKITAT,2016-17,234,17,5,6,4,2,12,5
LEWIS,2016-17,904,35,4,28,2,3,33,4
LINCOLN,2016-17,109,9,1,8,0,0,8,1
MASON,2016-17,585,16,3,12,1,0,13,3
OKANOGAN,2016-17,432,23,4,18,2,0,20,4
PACIFIC,2016-17,218,15,3,11,1,0,12,3
PEND OREILLE,2016-17,110,16,2,15,0,0,15,2
PIERCE,2016-17,"10,415",454,95,340,18,6,364,95
SAN JUAN,2016-17,134,7,1,5,1,0,6,1
SKAGIT,2016-17,"1,477",80,14,64,0,4,68,14
SKAMANIA,2016-17,72,7,2,3,2,0,5,2
SNOHOMISH,2016-17,"8,338",402,91,305,11,2,318,91
SPOKANE,2016-17,"5,928",499,113,362,30,13,405,113
STEVENS,2016-17,377,36,12,25,0,0,25,12
THURSTON,2016-17,"3,247",149,27,115,7,4,126,27
WAHKIAKUM,2016-17,24,0,0,0,0,0,0,0
WALLA WALLA,2016-17,706,20,4,14,2,0,16,4
WHATCOM,2016-17,"2,154",154,19,131,4,0,135,19
WHITMAN,2016-17,431,12,3,8,0,1,9,3
YAKIMA,2016-17,"4,258",54,18,34,2,0,36,18
