Year,Region,County Name,Gender Name,Enrollment by Gender
2014-2015,7,ANDERSON COUNTY,Female,4001
2014-2015,7,ANDERSON COUNTY,Male,4304
2014-2015,18,ANDREWS COUNTY,Female,1904
2014-2015,18,ANDREWS COUNTY,Male,2111
2014-2015,7,ANGELINA COUNTY,Female,8669
2014-2015,7,ANGELINA COUNTY,Male,8994
2014-2015,2,ARANSAS COUNTY,Female,1558
2014-2015,2,ARANSAS COUNTY,Male,1696
2014-2015,9,ARCHER COUNTY,Female,891
2014-2015,9,ARCHER COUNTY,Male,954
2014-2015,16,ARMSTRONG COUNTY,Female,178
2014-2015,16,ARMSTRONG COUNTY,Male,179
2014-2015,20,ATASCOSA COUNTY,Female,4466
2014-2015,20,ATASCOSA COUNTY,Male,4724
2014-2015,6,AUSTIN COUNTY,Female,2800
2014-2015,6,AUSTIN COUNTY,Male,3004
2014-2015,17,BAILEY COUNTY,Female,693
2014-2015,17,BAILEY COUNTY,Male,730
2014-2015,20,BANDERA COUNTY,Female,1214
2014-2015,20,BANDERA COUNTY,Male,1335
2014-2015,13,BASTROP COUNTY,Female,7814
2014-2015,13,BASTROP COUNTY,Male,8360
2014-2015,9,BAYLOR COUNTY,Female,280
2014-2015,9,BAYLOR COUNTY,Male,314
2014-2015,2,BEE COUNTY,Female,2636
2014-2015,2,BEE COUNTY,Male,2664
2014-2015,AL,BELL COUNTY/ALL,Female,35160
2014-2015,AL,BELL COUNTY/ALL,Male,36968
2014-2015,20,BEXAR COUNTY,Female,170734
2014-2015,20,BEXAR COUNTY,Male,179522
2014-2015,13,BLANCO COUNTY,Female,763
2014-2015,13,BLANCO COUNTY,Male,918
2014-2015,17,BORDEN COUNTY,Female,122
2014-2015,17,BORDEN COUNTY,Male,127
2014-2015,12,BOSQUE COUNTY,Female,1407
2014-2015,12,BOSQUE COUNTY,Male,1505
2014-2015,8,BOWIE COUNTY,Female,8797
2014-2015,8,BOWIE COUNTY,Male,9114
2014-2015,4,BRAZORIA COUNTY,Female,32073
2014-2015,4,BRAZORIA COUNTY,Male,34448
2014-2015,6,BRAZOS COUNTY,Female,14570
2014-2015,6,BRAZOS COUNTY,Male,15226
2014-2015,18,BREWSTER COUNTY,Female,572
2014-2015,18,BREWSTER COUNTY,Male,599
2014-2015,16,BRISCOE COUNTY,Female,83
2014-2015,16,BRISCOE COUNTY,Male,102
2014-2015,2,BROOKS COUNTY,Female,742
2014-2015,2,BROOKS COUNTY,Male,797
2014-2015,15,BROWN COUNTY,Female,3247
2014-2015,15,BROWN COUNTY,Male,3496
2014-2015,6,BURLESON COUNTY,Female,1330
2014-2015,6,BURLESON COUNTY,Male,1428
2014-2015,13,BURNET COUNTY,Female,3473
2014-2015,13,BURNET COUNTY,Male,3731
2014-2015,13,CALDWELL COUNTY,Female,3429
2014-2015,13,CALDWELL COUNTY,Male,3483
2014-2015,3,CALHOUN COUNTY,Female,2049
2014-2015,3,CALHOUN COUNTY,Male,2175
2014-2015,14,CALLAHAN COUNTY,Female,1223
2014-2015,14,CALLAHAN COUNTY,Male,1308
2014-2015,1,CAMERON COUNTY,Female,49741
2014-2015,1,CAMERON COUNTY,Male,52514
2014-2015,8,CAMP COUNTY,Female,1186
2014-2015,8,CAMP COUNTY,Male,1254
2014-2015,16,CARSON COUNTY,Female,575
2014-2015,16,CARSON COUNTY,Male,578
2014-2015,8,CASS COUNTY,Female,2770
2014-2015,8,CASS COUNTY,Male,2845
2014-2015,16,CASTRO COUNTY,Female,839
2014-2015,16,CASTRO COUNTY,Male,868
2014-2015,AL,CHAMBERS COUNTY/ALL,Female,3605
2014-2015,AL,CHAMBERS COUNTY/ALL,Male,3945
2014-2015,7,CHEROKEE COUNTY,Female,4193
